brd_label_brand,category_label,dsm_code,product_nature_label,product_code,model_r3,start_at,end_at,life_time,start_year_at
QUECHUA,CLOTHING,115213,LONG-SLEEVED T-SHIRT,110544,8343870,2015-09-06,2018-02-11,889,2018
KALENJI,CLOTHING,132385,T-SHIRT,113813,8353315,2016-02-14,2017-06-04,476,2017
BTWIN,CLOTHING,13123,TOP,64408,8330663,2015-03-01,2018-06-03,1190,2018
DOMYOS,CLOTHING,121922,SHORTS,112796,8352869,2016-01-10,2017-04-09,455,2017
TRIBORD,CLOTHING,164751,BIKINI TOP,123412,8384651,2017-03-12,2019-05-19,798,2019
FOUGANZA,FOOTWEAR,X8038841,JODHPUR BOOTS,10192,8038841,2012-01-08,2020-07-05,3101,2020
DOMYOS,CLOTHING,303926,JACKET,303926,8516455,2019-01-20,2020-02-23,399,2020
KIPSTA,CLOTHING,X8150665,T-SHIRT,59772,8150665,2012-01-01,2014-11-30,1064,2014
KALENJI,CLOTHING,X8199692,SOCKS,70534,8199692,2012-01-08,2014-01-26,749,2014
OFFLOAD,FOOTWEAR,6275,RUGBY BOOTS,86792,8495808,2019-08-11,2021-11-21,833,2021
KALENJI,CLOTHING,9751,SOCKS,103203,8296163,2014-06-15,2015-10-11,483,2015
DOMYOS,CLOTHING,150767,LEGGINGS,120895,8366437,2016-06-05,2017-03-26,294,2017
SOLOGNAC,CLOTHING,104197,SLEEVELESS JACKET,110936,8394369,2017-09-03,2019-06-09,644,2019
DOMYOS,CLOTHING,144671,JACKET,116319,8351912,2016-01-10,2016-12-25,350,2016
FOUGANZA,CLOTHING,2893,BREECHES,58427,8086683,2012-01-01,2018-09-23,2457,2018
DOMYOS,CLOTHING,13710,TROUSERS,108812,8367636,2016-06-26,2017-01-29,217,2017
TARMAK,FOOTWEAR,125305,SHOES,113484,8495997,2018-06-24,2020-12-06,896,2020
DOMYOS,CLOTHING,12126,JACKET,108163,8312186,2014-06-22,2015-07-05,378,2015
KIPSTA,CLOTHING,14648,JACKET,102158,8316036,2014-10-19,2018-01-28,1197,2018
DOMYOS,CLOTHING,150855,JACKET,120918,8366955,2016-07-24,2017-05-14,294,2017
NABAIJI,FOOTWEAR,300515,SLIDES SANDALS,125219,8401967,2018-02-25,2019-07-28,518,2019
DOMYOS,CLOTHING,8633,TROUSERS,106519,8311740,2014-06-15,2015-04-05,294,2015
TRIBORD,FOOTWEAR,1955,FLIP-FLOPS,80442,8335866,2014-11-09,2015-08-23,287,2015
DOMYOS,CLOTHING,171737,SPORTS BRA,125973,8526042,2018-12-16,2019-09-22,280,2019
KALENJI,CLOTHING,145982,T-SHIRT,117202,8379294,2017-04-23,2020-01-19,1001,2020
KALENJI,CLOTHING,169511,SHORTS,125070,8488301,2018-02-04,2019-05-12,462,2019
QUECHUA,CLOTHING,106634,T-SHIRT,109038,8355810,2016-01-31,2018-05-13,833,2018
TRIBORD,CLOTHING,143308,BIKINI TOP,115421,8384207,2017-03-12,2019-06-16,826,2019
NABAIJI,CLOTHING,X8163174,SWIMSUIT,75734,8163174,2012-01-01,2014-03-30,819,2014
BTWIN,CLOTHING,11063,JACKET,104606,8241505,2013-05-12,2014-11-02,539,2014
NYAMBA,CLOTHING,11454,T-SHIRT,106787,8380738,2016-12-11,2018-10-07,665,2018
DOMYOS,CLOTHING,X8240388,JACKET,103403,8240388,2013-04-07,2014-07-27,476,2014
KIPSTA,CLOTHING,3064,SHORTS,104938,8302446,2014-01-26,2017-06-25,1246,2017
DOMYOS,CLOTHING,8305,TANK,106341,8312864,2014-06-29,2015-06-14,350,2015
NABAIJI,CLOTHING,103448,SWIMSUIT,108146,8405385,2018-02-18,2020-05-24,826,2020
TRIBORD,CLOTHING,X8186385,FLEECE,46764,8186385,2012-01-01,2013-07-07,553,2013
KIPSTA,CLOTHING,114686,JACKET,110459,8342465,2015-10-18,2019-01-13,1183,2019
KALENJI,CLOTHING,100152,BRIEFS,107432,8351979,2016-01-03,2017-06-04,518,2017
DOMYOS,CLOTHING,X8185063,SOCKS,74181,8185063,2012-01-01,2013-12-08,707,2013
NABAIJI,CLOTHING,3678,SWIMSUIT TOP,102537,8398657,2017-07-09,2019-06-09,700,2019
FOUGANZA,CLOTHING,9175,SHORT-SLEEVED POLO SHIRT,105170,8299259,2014-03-16,2018-08-05,1603,2018
NEWFEEL,FOOTWEAR,3754,SHOES,84547,8279161,2013-10-06,2015-06-28,630,2015
ARTENGO,FOOTWEAR,15237,SHOES,110384,8313723,2014-07-20,2016-10-30,833,2016
DOMYOS,FOOTWEAR,306314,SHOES,306314,8543172,2019-03-03,2021-11-28,1001,2021
INESIS,FOOTWEAR,X8240978,SHOES,80276,8240978,2013-03-03,2016-04-03,1127,2016
DOMYOS,CLOTHING,117987,TANK,111092,8340823,2015-06-14,2016-09-11,455,2016
TRIBORD,CLOTHING,X8356707,TOP,110239,8356707,2016-03-13,2017-07-09,483,2017
QUECHUA,FOOTWEAR,4935,SHOES,84187,8298741,2014-02-16,2016-05-22,826,2016
NABAIJI,CLOTHING,151631,TOP,121079,8384479,2017-02-26,2019-06-09,833,2019
BTWIN,CLOTHING,15354,JACKET,108485,8315312,2014-08-03,2015-09-20,413,2015
KALENJI,CLOTHING,165436,T-SHIRT,123546,8519855,2019-02-10,2020-05-17,462,2020
TRIBORD,CLOTHING,115166,BIKINI TOP,110527,8361523,2016-03-06,2017-07-02,483,2017
DOMYOS,CLOTHING,8307,TANK,106429,8504568,2018-06-17,2021-06-13,1092,2021
ARTENGO,CLOTHING,2214,TOP,105046,8312932,2014-08-24,2016-10-30,798,2016
KALENJI,CLOTHING,306534,LONG-SLEEVED T-SHIRT,306534,8542258,2019-09-01,2021-07-11,679,2021
QUECHUA,CLOTHING,4809,FLEECE,102618,8285179,2013-09-22,2014-04-13,203,2014
TRIBORD,CLOTHING,135745,SHORT-SLEEVED POLO SHIRT,114060,8383038,2017-03-05,2020-05-17,1169,2020
DOMYOS,CLOTHING,X8184460,CROPPED LEGGINGS,79484,8184460,2012-01-01,2014-12-21,1085,2014
TRIBORD,CLOTHING,143315,BIKINI TOP,115427,8357554,2016-03-06,2017-06-18,469,2017
WEDZE,CLOTHING,X8110965,SOCKS,61160,8110965,2012-01-01,2013-02-03,399,2013
NABAIJI,CLOTHING,4033,2 PIECES SWIMSUIT,105225,8306616,2014-04-06,2017-02-12,1043,2017
TRIBORD,CLOTHING,X8240732,BOARDSHORTS,103625,8240732,2013-03-17,2015-07-12,847,2015
QUECHUA,FOOTWEAR,141810,SHOES,114793,8357667,2017-02-19,2019-05-26,826,2019
WEDZE,CLOTHING,121228,BASE LAYER,112671,8503754,2017-10-15,2018-03-11,147,2018
QUECHUA,CLOTHING,5684,SHORTS,103357,8245772,2013-03-10,2016-10-30,1330,2016
TRIBORD,CLOTHING,168351,BERMUDA SHORTS,124335,8485188,2018-02-25,2021-06-13,1204,2021
DOMYOS,CLOTHING,14236,T-SHIRT,103909,8320906,2014-06-29,2014-11-16,140,2014
TRIBORD,CLOTHING,X8243377,BOARDSHORTS,57383,8243377,2013-03-03,2014-08-03,518,2014
ARTENGO,CLOTHING,X8184037,LONG-SLEEVED T-SHIRT,77495,8184037,2012-01-01,2014-01-05,735,2014
ARTENGO,CLOTHING,X8238014,SHORTS,102069,8238014,2013-02-17,2015-07-05,868,2015
DOMYOS,CLOTHING,142194,JACKET,115019,8352729,2015-12-27,2016-10-16,294,2016
QUECHUA,FOOTWEAR,4441,SNOW BOOTS,63516,8157556,2012-01-01,2014-11-30,1064,2014
DOMYOS,CLOTHING,8434,JACKET,105964,8299729,2013-12-22,2015-02-15,420,2015
QUECHUA,CLOTHING,11846,LONG-SLEEVED T-SHIRT,104463,8282494,2013-08-18,2016-11-20,1190,2016
KALENJI,FOOTWEAR,X8341671,SHOES,111073,8341671,2015-06-28,2016-04-24,301,2016
TRIBORD,CLOTHING,164377,BIKINI,123341,8380993,2017-03-05,2019-06-23,840,2019
QUECHUA,CLOTHING,5750,TROUSERS,101740,8204538,2012-02-26,2014-07-20,875,2014
KIPSTA,CLOTHING,5604,T-SHIRT,105788,8407331,2018-02-04,2019-12-01,665,2019
WEDZE,CLOTHING,X8314772,BASE LAYER,102153,8314772,2014-08-03,2015-11-29,483,2015
DOMYOS,CLOTHING,11560,JACKET,107889,8311509,2014-08-10,2015-09-06,392,2015
DOMYOS,CLOTHING,302892,T-SHIRT,302892,8519047,2019-02-10,2021-05-16,826,2021
TRIBORD,CLOTHING,X8208599,TANK,101426,8208599,2012-03-11,2014-07-27,868,2014
SOLOGNAC,CLOTHING,144366,JACKET,116164,8367987,2016-08-21,2020-01-05,1232,2020
